Name,Email,Financial Status,Fulfillment Status,Total,Subtotal,Shipping,Discount Amount,Created at,Billing City,Billing Province,Billing Country,Shipping City,Shipping Province,Shipping Country,Payment Method,Lineitem quantity,Lineitem price,z_score,Fraud_Flag_ZScore,Fraud_Flag_IQR,Order_Count,Fraud_Flag_Frequency,Address_Mismatch,Order_Hour,Fraud_Flag_Time,Discount_Pct,Fraud_Flag_Discount
#1001,maria.santos@gmail.com,paid,fulfilled,1250.0,1100.0,150.0,0.0,2026-01-02 10:23:00,Davao City,Davao del Sur,PH,Davao City,Davao del Sur,PH,Credit Card,2,550.0,-0.5568568388432203,OK,OK,1,OK,MATCH,10,OK,0.0,OK
#1002,john.reyes@yahoo.com,paid,fulfilled,850.0,750.0,100.0,0.0,2026-01-02 14:15:00,Cebu City,Cebu,PH,Cebu City,Cebu,PH,Credit Card,1,750.0,-0.6020727731409119,OK,OK,1,OK,MATCH,14,OK,0.0,OK
#1003,anna.cruz@gmail.com,paid,fulfilled,2100.0,1950.0,150.0,0.0,2026-01-03 09:45:00,Manila,Metro Manila,PH,Manila,Metro Manila,PH,PayPal,3,650.0,-0.4607729784606258,OK,OK,1,OK,MATCH,9,OK,0.0,OK
#1004,fakeemail001@tempmail.com,paid,unfulfilled,18500.0,18000.0,500.0,0.0,2026-01-03 02:13:00,Manila,Metro Manila,PH,Cagayan de Oro,Misamis Oriental,PH,Credit Card,10,1800.0,1.393080327744728,OK,OK,6,FREQUENT,MISMATCH,2,ODD_HOUR,0.0,OK
#1005,pedro.garcia@gmail.com,paid,fulfilled,1500.0,1350.0,150.0,0.0,2026-01-04 11:30:00,Zamboanga City,Zamboanga del Sur,PH,Zamboanga City,Zamboanga del Sur,PH,GCash,2,675.0,-0.5285968799071631,OK,OK,1,OK,MATCH,11,OK,0.0,OK
#1006,lisa.fernandez@outlook.com,paid,fulfilled,950.0,800.0,150.0,0.0,2026-01-04 16:20:00,Iloilo City,Iloilo,PH,Iloilo City,Iloilo,PH,Credit Card,1,800.0,-0.590768789566489,OK,OK,1,OK,MATCH,16,OK,0.0,OK
#1007,fakeemail001@tempmail.com,paid,unfulfilled,22000.0,21500.0,500.0,0.0,2026-01-04 03:05:00,Quezon City,Metro Manila,PH,General Santos,South Cotabato,PH,Credit Card,12,1791.67,1.788719752849529,OK,OK,6,FREQUENT,MISMATCH,3,ODD_HOUR,0.0,OK
#1008,mark.villanueva@gmail.com,paid,fulfilled,750.0,650.0,100.0,0.0,2026-01-05 13:10:00,Butuan,Agusan del Norte,PH,Butuan,Agusan del Norte,PH,GCash,1,650.0,-0.6133767567153348,OK,OK,1,OK,MATCH,13,OK,0.0,OK
#1009,rosa.delacosta@yahoo.com,paid,fulfilled,1800.0,1600.0,200.0,0.0,2026-01-05 10:00:00,Taguig,Metro Manila,PH,Taguig,Metro Manila,PH,Credit Card,2,800.0,-0.49468492918389445,OK,OK,1,OK,MATCH,10,OK,0.0,OK
#1010,carlos.mendoza@gmail.com,paid,fulfilled,1100.0,950.0,150.0,0.0,2026-01-06 15:45:00,Bacolod,Negros Occidental,PH,Bacolod,Negros Occidental,PH,PayPal,1,950.0,-0.5738128142048547,OK,OK,1,OK,MATCH,15,OK,0.0,OK
#1011,suspicious.buyer99@proton.me,paid,unfulfilled,15200.0,14500.0,700.0,0.0,2026-01-06 01:30:00,Makati,Metro Manila,PH,Davao City,Davao del Sur,PH,Credit Card,8,1812.5,1.0200488697887726,OK,OK,4,FREQUENT,MISMATCH,1,ODD_HOUR,0.0,OK
#1012,elena.aquino@gmail.com,paid,fulfilled,650.0,550.0,100.0,0.0,2026-01-07 09:20:00,Antipolo,Rizal,PH,Antipolo,Rizal,PH,GCash,1,550.0,-0.6246807402897577,OK,OK,1,OK,MATCH,9,OK,0.0,OK
#1013,david.tan@yahoo.com,paid,fulfilled,2200.0,2000.0,200.0,0.0,2026-01-07 12:35:00,Pasig,Metro Manila,PH,Pasig,Metro Manila,PH,Credit Card,3,666.67,-0.4494689948862029,OK,OK,1,OK,MATCH,12,OK,0.0,OK
#1014,fakeemail001@tempmail.com,paid,unfulfilled,19800.0,19000.0,800.0,0.0,2026-01-07 02:48:00,Mandaluyong,Metro Manila,PH,Tagum,Davao del Norte,PH,Credit Card,11,1727.27,1.5400321142122255,OK,OK,6,FREQUENT,MISMATCH,2,ODD_HOUR,0.0,OK
#1015,grace.lim@gmail.com,paid,fulfilled,900.0,780.0,120.0,0.0,2026-01-08 14:55:00,Caloocan,Metro Manila,PH,Caloocan,Metro Manila,PH,GCash,1,780.0,-0.5964207813537005,OK,OK,1,OK,MATCH,14,OK,0.0,OK
#1016,ramon.bautista@outlook.com,paid,fulfilled,1350.0,1200.0,150.0,0.0,2026-01-08 10:10:00,Paranaque,Metro Manila,PH,Paranaque,Metro Manila,PH,Credit Card,2,600.0,-0.5455528552687975,OK,OK,1,OK,MATCH,10,OK,0.0,OK
#1017,jenny.lee@gmail.com,paid,fulfilled,780.0,680.0,100.0,0.0,2026-01-09 11:40:00,Lapu-Lapu,Cebu,PH,Lapu-Lapu,Cebu,PH,PayPal,1,680.0,-0.609985561643008,OK,OK,1,OK,MATCH,11,OK,0.0,OK
#1018,suspicious.buyer99@proton.me,paid,unfulfilled,16500.0,15800.0,700.0,0.0,2026-01-09 03:22:00,Pasay,Metro Manila,PH,Iligan,Lanao del Norte,PH,Credit Card,9,1755.56,1.1670006562562703,OK,OK,4,FREQUENT,MISMATCH,3,ODD_HOUR,0.0,OK
#1019,miguel.soriano@gmail.com,paid,fulfilled,1050.0,900.0,150.0,0.0,2026-01-10 08:30:00,Mandaue,Cebu,PH,Mandaue,Cebu,PH,GCash,1,900.0,-0.5794648059920662,OK,OK,1,OK,MATCH,8,OK,0.0,OK
#1020,test.buyer777@mail.com,paid,unfulfilled,25000.0,24200.0,800.0,0.0,2026-01-10 04:10:00,San Juan,Metro Manila,PH,Cotabato City,Maguindanao,PH,Credit Card,15,1613.33,2.1278392600822156,SUSPICIOUS,OK,3,OK,MISMATCH,4,ODD_HOUR,0.0,OK
#1021,sophia.navarro@yahoo.com,paid,fulfilled,1600.0,1400.0,200.0,0.0,2026-01-11 13:25:00,Valenzuela,Metro Manila,PH,Valenzuela,Metro Manila,PH,Credit Card,2,700.0,-0.5172928963327402,OK,OK,1,OK,MATCH,13,OK,0.0,OK
#1022,robert.delos.santos@gmail.com,paid,fulfilled,920.0,800.0,120.0,0.0,2026-01-11 09:50:00,Las Pinas,Metro Manila,PH,Las Pinas,Metro Manila,PH,GCash,1,800.0,-0.5941599846388159,OK,OK,1,OK,MATCH,9,OK,0.0,OK
#1023,fakeemail001@tempmail.com,paid,unfulfilled,21000.0,20200.0,800.0,0.0,2026-01-11 01:55:00,Marikina,Metro Manila,PH,Zamboanga City,Zamboanga del Sur,PH,Credit Card,13,1553.85,1.6756799171053003,OK,OK,6,FREQUENT,MISMATCH,1,ODD_HOUR,0.0,OK
#1024,carmen.rivera@gmail.com,paid,fulfilled,1450.0,1300.0,150.0,0.0,2026-01-12 10:15:00,Muntinlupa,Metro Manila,PH,Muntinlupa,Metro Manila,PH,PayPal,2,650.0,-0.5342488716943746,OK,OK,1,OK,MATCH,10,OK,0.0,OK
#1025,discount.hunter@fakemail.net,paid,fulfilled,350.0,1200.0,150.0,1000.0,2026-01-12 16:30:00,Quezon City,Metro Manila,PH,Quezon City,Metro Manila,PH,Credit Card,2,600.0,-0.6585926910130264,OK,OK,4,FREQUENT,MATCH,16,OK,0.8333333333333334,HIGH_DISCOUNT
#1026,paolo.santos@outlook.com,paid,fulfilled,1150.0,1000.0,150.0,0.0,2026-01-13 11:05:00,Malabon,Metro Manila,PH,Malabon,Metro Manila,PH,Credit Card,1,1000.0,-0.5681608224176432,OK,OK,1,OK,MATCH,11,OK,0.0,OK
#1027,nina.castro@gmail.com,paid,fulfilled,850.0,750.0,100.0,0.0,2026-01-13 14:40:00,Navotas,Metro Manila,PH,Navotas,Metro Manila,PH,GCash,1,750.0,-0.6020727731409119,OK,OK,1,OK,MATCH,14,OK,0.0,OK
#1028,suspicious.buyer99@proton.me,paid,unfulfilled,17800.0,17000.0,800.0,0.0,2026-01-13 02:05:00,Taguig,Metro Manila,PH,Butuan,Agusan del Norte,PH,Credit Card,10,1700.0,1.3139524427237677,OK,OK,4,FREQUENT,MISMATCH,2,ODD_HOUR,0.0,OK
#1029,discount.hunter@fakemail.net,paid,fulfilled,200.0,1500.0,100.0,1400.0,2026-01-14 12:20:00,Manila,Metro Manila,PH,Manila,Metro Manila,PH,Credit Card,3,500.0,-0.6755486663746607,OK,OK,4,FREQUENT,MATCH,12,OK,0.9333333333333333,HIGH_DISCOUNT
#1030,rico.gonzales@yahoo.com,paid,fulfilled,1300.0,1150.0,150.0,0.0,2026-01-14 09:35:00,San Fernando,Pampanga,PH,San Fernando,Pampanga,PH,Credit Card,2,575.0,-0.5512048470560089,OK,OK,1,OK,MATCH,9,OK,0.0,OK
#1031,andrea.lopez@gmail.com,paid,fulfilled,700.0,600.0,100.0,0.0,2026-01-15 15:50:00,Angeles,Pampanga,PH,Angeles,Pampanga,PH,GCash,1,600.0,-0.6190287485025463,OK,OK,1,OK,MATCH,15,OK,0.0,OK
#1032,test.buyer777@mail.com,paid,unfulfilled,23500.0,22800.0,700.0,0.0,2026-01-15 03:40:00,Makati,Metro Manila,PH,Pagadian,Zamboanga del Sur,PH,Credit Card,14,1628.57,1.9582795064658725,OK,OK,3,OK,MISMATCH,3,ODD_HOUR,0.0,OK
#1033,diana.reyes@outlook.com,paid,fulfilled,980.0,850.0,130.0,0.0,2026-01-16 10:55:00,Baguio,Benguet,PH,Baguio,Benguet,PH,PayPal,1,850.0,-0.5873775944941622,OK,OK,1,OK,MATCH,10,OK,0.0,OK
#1034,jose.hernandez@gmail.com,paid,fulfilled,1750.0,1550.0,200.0,0.0,2026-01-16 13:15:00,Olongapo,Zambales,PH,Olongapo,Zambales,PH,Credit Card,2,775.0,-0.5003369209711059,OK,OK,1,OK,MATCH,13,OK,0.0,OK
#1035,fakeemail001@tempmail.com,paid,unfulfilled,20500.0,19700.0,800.0,0.0,2026-01-16 01:20:00,Pasig,Metro Manila,PH,Surigao City,Surigao del Norte,PH,Credit Card,12,1641.67,1.6191599992331858,OK,OK,6,FREQUENT,MISMATCH,1,ODD_HOUR,0.0,OK
#1036,rachel.dimaculangan@yahoo.com,paid,fulfilled,1100.0,950.0,150.0,0.0,2026-01-17 08:45:00,Lipa,Batangas,PH,Lipa,Batangas,PH,GCash,1,950.0,-0.5738128142048547,OK,OK,1,OK,MATCH,8,OK,0.0,OK
#1037,kevin.ramos@gmail.com,paid,fulfilled,1550.0,1400.0,150.0,0.0,2026-01-17 14:30:00,Batangas City,Batangas,PH,Batangas City,Batangas,PH,Credit Card,2,700.0,-0.5229448881199517,OK,OK,1,OK,MATCH,14,OK,0.0,OK
#1038,discount.hunter@fakemail.net,paid,fulfilled,150.0,1800.0,150.0,1800.0,2026-01-17 11:10:00,Cebu City,Cebu,PH,Cebu City,Cebu,PH,Credit Card,3,600.0,-0.6812006581618721,OK,OK,4,FREQUENT,MATCH,11,OK,1.0,HIGH_DISCOUNT
#1039,suspicious.buyer99@proton.me,paid,unfulfilled,19000.0,18200.0,800.0,0.0,2026-01-18 02:35:00,Mandaluyong,Metro Manila,PH,Ozamiz,Misamis Occidental,PH,Credit Card,11,1654.55,1.4496002456168424,OK,OK,4,FREQUENT,MISMATCH,2,ODD_HOUR,0.0,OK
#1040,michelle.santos@gmail.com,paid,fulfilled,880.0,780.0,100.0,0.0,2026-01-18 09:20:00,Lucena,Quezon,PH,Lucena,Quezon,PH,GCash,1,780.0,-0.598681578068585,OK,OK,1,OK,MATCH,9,OK,0.0,OK
#1041,benjamin.cruz@yahoo.com,paid,fulfilled,1200.0,1050.0,150.0,0.0,2026-01-19 12:00:00,Naga,Camarines Sur,PH,Naga,Camarines Sur,PH,PayPal,2,525.0,-0.5625088306304318,OK,OK,1,OK,MATCH,12,OK,0.0,OK
#1042,clara.villanueva@gmail.com,paid,fulfilled,950.0,830.0,120.0,0.0,2026-01-19 15:35:00,Legazpi,Albay,PH,Legazpi,Albay,PH,Credit Card,1,830.0,-0.590768789566489,OK,OK,1,OK,MATCH,15,OK,0.0,OK
#1043,test.buyer777@mail.com,paid,unfulfilled,26000.0,25200.0,800.0,0.0,2026-01-19 04:50:00,San Juan,Metro Manila,PH,Dipolog,Zamboanga del Norte,PH,Credit Card,16,1575.0,2.2408790958264446,SUSPICIOUS,OK,3,OK,MISMATCH,4,ODD_HOUR,0.0,OK
#1044,daniel.abella@outlook.com,paid,fulfilled,1400.0,1250.0,150.0,0.0,2026-01-20 10:40:00,Tacloban,Leyte,PH,Tacloban,Leyte,PH,Credit Card,2,625.0,-0.5399008634815861,OK,OK,1,OK,MATCH,10,OK,0.0,OK
#1045,patricia.go@gmail.com,paid,fulfilled,680.0,580.0,100.0,0.0,2026-01-20 16:15:00,Ormoc,Leyte,PH,Ormoc,Leyte,PH,GCash,1,580.0,-0.6212895452174308,OK,OK,1,OK,MATCH,16,OK,0.0,OK
#1046,discount.hunter@fakemail.net,paid,fulfilled,100.0,2000.0,100.0,2000.0,2026-01-20 13:55:00,Davao City,Davao del Sur,PH,Davao City,Davao del Sur,PH,Credit Card,4,500.0,-0.6868526499490836,OK,OK,4,FREQUENT,MATCH,13,OK,1.0,HIGH_DISCOUNT
#1047,arnold.pangilinan@yahoo.com,paid,fulfilled,1650.0,1500.0,150.0,0.0,2026-01-21 09:10:00,Puerto Princesa,Palawan,PH,Puerto Princesa,Palawan,PH,Credit Card,2,750.0,-0.5116409045455288,OK,OK,1,OK,MATCH,9,OK,0.0,OK
#1048,victoria.chua@gmail.com,paid,fulfilled,820.0,720.0,100.0,0.0,2026-01-21 11:50:00,Dumaguete,Negros Oriental,PH,Dumaguete,Negros Oriental,PH,PayPal,1,720.0,-0.6054639682132388,OK,OK,1,OK,MATCH,11,OK,0.0,OK
#1049,fakeemail001@tempmail.com,paid,unfulfilled,24000.0,23200.0,800.0,0.0,2026-01-21 01:45:00,Quezon City,Metro Manila,PH,Valencia,Bukidnon,PH,Credit Card,14,1657.14,2.014799424337987,SUSPICIOUS,OK,6,FREQUENT,MISMATCH,1,ODD_HOUR,0.0,OK
