Student_ID,Name,Section,Calculus,Physics,Programming,Ethics
2023-0001,Emily Smith,c,86.0,87.0,91.0,74.0
2023-0002,Daniel Davis,D,150,79.0,88.0,103.0
2023-0003,Jessica Jones,A,86.0,86.0,116.0,94.0
2023-0004,Emily Moore,C,65.0,81.0,96.0,98.0
2023-0005,Michael Jackson,C,83.0,86.0,84.0,92.0
2023-0006,Patricia Johnson,D,89.0,92.0,75.0,74.0
2023-0007,John Williams,A,100.0,101.0,69.0,80.0
2023-0008,Chris Davis,A,80.0,73.0,87.0,90.0
2023-0009,Joseph Martin,C,77.0,106.0,77.0,73.0
2023-0010,John Moore,B,80.0,N/A,71.0,
2023-0011,Chris Moore,C,94.0,83.0,79.0,83.0
2023-0012,Patricia Davis,C,88.0,91.0,74.0,81.0
2023-0013,William Jackson,C,80.0,N/A,102.0,92.0
2023-0014,Daniel Smith,C,90.0,79.0,94.0,89.0
2023-0015,Sarah Wilson,D,86.0,,85.0,81.0
2023-0016,James Rodriguez,A,95.0,80.0,100.0,97.0
2023-0017,David Miller,D,78.0,79.0,86.0,74.0
2023-0018,James Brown,D,82.0,93.0,76.0,91.0
2023-0019,Michael Gonzalez,D,81.0,N/A,100.0,91.0
2023-0020,Emily Lopez,C,70.0,78.0,90.0,82.0
2023-0021,Mary Martin,b,88.0,94.0,75.0,
2023-0022,Daniel Johnson,A,88.0,88.0,83.0,72.0
2023-0023,William Moore,B,85.0,93.0,76.0,94.0
2023-0024,Emily Gonzalez,D,83.0,91.0,71.0,83.0
2023-0025,Michael Moore,D,71.0,77.0,94.0,80.0
2023-0026,Ashley Martin,B,81.0,79.0,104.0,
2023-0027,Mary Jackson,B,82.0,92.0,71.0,78.0
2023-0028,Chris Williams,B,,91.0,91.0,71.0
2023-0029,Jane Davis,D,83.0,85.0,78.0,69.0
2023-0030,Ashley Williams,D,89.0,86.0,80.0,91.0
2023-0031,Jessica Brown,A,105,98.0,79.0,72.0
2023-0032,Robert Rodriguez,A,87.0,79.0,76.0,103.0
2023-0033,William Lopez,D,88.0,90.0,85.0,64.0
2023-0034,Sarah Lopez,B,84.0,83.0,missing,102.0
2023-0035,Mary Miller,B,66.0,83.0,88.0,87.0
2023-0036,Daniel Williams,A,85.0,96.0,84.0,84.0
2023-0037,Elizabeth Garcia,D,,93.0,83.0,80.0
2023-0038,Linda Davis,A,110.0,93.0,76.0,89.0
2023-0039,Sarah Anderson,A,83.0,98.0,79.0,85.0
2023-0040,Robert Rodriguez,C,88.0,85.0,93.0,96.0
2023-0041,Linda Davis,c,85.0,92.0,90.0,86.0
2023-0042,James Johnson,C,73.0,82.0,75.0,87.0
2023-0043,Jessica Johnson,B,96.0,,86.0,81.0
2023-0044,James Gonzalez,D,93.0,84.0,93.0,84.0
2023-0045,Daniel Williams,D,93.0,86.0,68.0,88.0
2023-0046,Chris Jackson,D,76.0,91.0,90.0,68.0
2023-0047,James Miller,D,99.0,77.0,78.0,72.0
2023-0048,Jennifer Gonzalez,C,71.0,106.0,91.0,92.0
2023-0049,William Jones,B,91.0,75.0,,87.0
2023-0050,Daniel Jones,B,107.0,73.0,67.0,83.0
2023-0051,Jessica Moore,C,75.0,97.0,69.0,85.0
2023-0052,Linda Rodriguez,B,79.0,93.0,85.0,88.0
2023-0053,Charles Wilson,C,86.0,91.0,,80.0
2023-0054,Charles Gonzalez,D,80.0,91.0,76.0,77.0
2023-0055,Mary Davis,C,69.0,85.0,91.0,87.0
2023-0056,David Taylor,D,86.0,76.0,missing,75.0
2023-0057,Jennifer Williams,D,74.0,86.0,84.0,89.0
2023-0058,Jane Brown,A,90.0,78.0,73.0,
2023-0059,David Garcia,C,76.0,95.0,78.0,95.0
2023-0060,Patricia Martin,A,100.0,84.0,,90.0
2023-0061,Michael Gonzalez,c,77.0,77.0,76.0,88.0
2023-0062,Robert Martin,C,82.0,82.0,,95.0
2023-0063,William Taylor,A,,89.0,,102.0
2023-0064,Daniel Moore,A,73.0,79.0,79.0,95.0
2023-0065,John Brown,C,87.0,77.0,93.0,missing
2023-0066,Linda Rodriguez,B,98.0,missing,missing,72.0
2023-0067,James Brown,D,69.0,87.0,90.0,79.0
2023-0068,Ashley Wilson,A,87.0,80.0,99.0,85.0
2023-0069,Sarah Anderson,D,88.0,80.0,60.0,90.0
2023-0070,John Rodriguez,B,,87.0,77.0,78.0
2023-0071,Joseph Garcia,B,,71.0,91.0,87.0
2023-0072,Joseph Brown,B,72.0,71.0,83.0,missing
2023-0073,Ashley Taylor,A,90.0,78.0,89.0,79.0
2023-0074,Elizabeth Miller,B,88.0,83.0,,
2023-0075,David Lopez,A,88.0,88.0,86.0,76.0
2023-0076,Sarah Moore,B,88.0,100.0,83.0,71.0
2023-0077,Joseph Smith,D,78.0,94.0,97.0,75.0
2023-0078,Elizabeth Hernandez,D,87.0,83.0,88.0,
2023-0079,Jennifer Smith,C,88.0,85.0,88.0,
2023-0080,Emily Lopez,D,78.0,75.0,81.0,111.0
2023-0081,Ashley Davis,c,104.0,85.0,80.0,90.0
2023-0082,Jane Davis,D,90.0,82.0,81.0,
2023-0083,Charles Williams,A,73.0,88.0,89.0,76.0
2023-0084,Michael Thomas,D,92.0,77.0,81.0,92.0
2023-0085,Michael Moore,C,75.0,90.0,88.0,79.0
2023-0086,David Jones,C,93.0,100.0,106.0,86.0
2023-0087,Jennifer Moore,B,97.0,84.0,94.0,111.0
2023-0088,Sarah Rodriguez,A,77.0,89.0,82.0,84.0
2023-0089,Joseph Martin,D,95.0,92.0,97.0,96.0
2023-0090,Patricia Miller,B,89.0,81.0,81.0,78.0
2023-0091,Linda Miller,D,93.0,87.0,65.0,85.0
2023-0092,Ashley Gonzalez,D,104.0,85.0,75.0,103.0
2023-0093,Mary Anderson,B,83.0,86.0,66.0,missing
2023-0094,Joseph Anderson,B,77.0,77.0,81.0,103.0
2023-0095,Emily Davis,B,N/A,85.0,85.0,92.0
2023-0096,Jessica Williams,B,77.0,90.0,102.0,79.0
2023-0097,James Smith,B,84.0,100.0,88.0,91.0
2023-0098,Charles Moore,D,88.0,95.0,83.0,95.0
2023-0099,Jessica Jackson,B,88.0,107.0,93.0,91.0
2023-0100,Jessica Smith,A,93.0,77.0,,69.0
2023-0101,Michael Johnson,c,85.0,94.0,87.0,78.0
2023-0102,Jessica Williams,B,,87.0,93.0,83.0
2023-0103,Jane Hernandez,B,82.0,107.0,70.0,84.0
2023-0104,Michael Taylor,D,112.0,77.0,96.0,91.0
2023-0105,Jessica Rodriguez,B,91.0,77.0,88.0,87.0
2023-0106,Jennifer Miller,B,76.0,79.0,81.0,72.0
2023-0107,Linda Jones,B,74.0,64.0,91.0,89.0
2023-0108,Charles Jackson,D,90.0,80.0,108.0,91.0
2023-0109,Jennifer Davis,B,83.0,77.0,87.0,91.0
2023-0110,Jennifer Wilson,C,92.0,87.0,87.0,96.0
2023-0111,Chris Brown,D,90.0,88.0,80.0,93.0
2023-0112,Emily Wilson,C,84.0,104.0,77.0,90.0
2023-0113,Mary Wilson,D,77.0,95.0,93.0,84.0
2023-0114,Patricia Anderson,B,70.0,79.0,76.0,68.0
2023-0115,Jane Brown,C,81.0,76.0,86.0,89.0
2023-0116,Jane Gonzalez,D,,90.0,80.0,87.0
2023-0117,James Brown,A,87.0,,90.0,88.0
2023-0118,Jessica Miller,B,73.0,103.0,88.0,72.0
2023-0119,Chris Moore,D,87.0,97.0,95.0,74.0
2023-0120,William Jones,A,89.0,80.0,80.0,96.0
2023-0121,Patricia Garcia,d,76.0,68.0,82.0,85.0
2023-0122,Daniel Anderson,A,87.0,99.0,75.0,92.0
2023-0123,Jessica Williams,B,86.0,84.0,81.0,85.0
2023-0124,William Moore,C,74.0,97.0,89.0,85.0
2023-0125,Emily Johnson,A,89.0,69.0,93.0,94.0
2023-0126,Linda Smith,D,91.0,79.0,76.0,80.0
2023-0127,Michael Davis,B,96.0,85.0,94.0,86.0
2023-0128,Sarah Wilson,A,96.0,85.0,99.0,
2023-0129,Jennifer Thomas,D,71.0,80.0,89.0,81.0
2023-0130,Chris Gonzalez,D,76.0,91.0,104.0,82.0
2023-0131,Jane Garcia,D,90.0,74.0,77.0,87.0
2023-0132,Robert Smith,A,90.0,84.0,73.0,80.0
2023-0133,Robert Rodriguez,A,,86.0,67.0,98.0
2023-0134,William Martinez,A,124.0,90.0,100.0,76.0
2023-0135,Patricia Moore,C,91.0,92.0,,83.0
2023-0136,Jennifer Jones,A,96.0,74.0,84.0,81.0
2023-0137,Chris Martinez,A,95.0,70.0,88.0,99.0
2023-0138,Chris Johnson,A,92.0,98.0,74.0,87.0
2023-0139,Charles Moore,C,82.0,88.0,109.0,95.0
2023-0140,Jane Hernandez,A,93.0,78.0,86.0,70.0
2023-0141,Jane Johnson,d,77.0,101.0,86.0,88.0
2023-0142,Charles Thomas,A,,86.0,92.0,94.0
2023-0143,Joseph Taylor,D,80.0,97.0,90.0,N/A
2023-0144,Sarah Johnson,D,86.0,86.0,N/A,96.0
2023-0145,Joseph Williams,D,108.0,106.0,77.0,80.0
2023-0146,Sarah Williams,C,66.0,103.0,90.0,N/A
2023-0147,Elizabeth Williams,C,92.0,83.0,104.0,108.0
2023-0148,Jessica Gonzalez,C,69.0,95.0,98.0,81.0
2023-0149,Emily Jackson,A,80.0,91.0,101.0,81.0
2023-0150,Jessica Jackson,D,96.0,99.0,80.0,100.0
2023-0151,Elizabeth Johnson,C,86.0,75.0,75.0,101.0
2023-0152,Elizabeth Williams,C,N/A,92.0,84.0,80.0
2023-0153,Patricia Jackson,A,78.0,missing,86.0,missing
2023-0154,Charles Taylor,C,92.0,67.0,96.0,82.0
2023-0155,James Rodriguez,A,78.0,73.0,68.0,72.0
2023-0156,Chris Hernandez,B,87.0,65.0,100.0,76.0
2023-0157,Jessica Rodriguez,C,-5,82.0,83.0,75.0
2023-0158,Robert Jones,B,78.0,92.0,81.0,77.0
2023-0159,Ashley Anderson,A,106.0,100.0,75.0,85.0
2023-0160,James Williams,D,91.0,86.0,68.0,87.0
2023-0161,John Anderson,c,65.0,101.0,93.0,101.0
2023-0162,Elizabeth Jackson,A,87.0,71.0,86.0,75.0
2023-0163,Emily Williams,D,78.0,,72.0,95.0
2023-0164,Linda Miller,D,94.0,84.0,72.0,N/A
2023-0165,Joseph Rodriguez,B,77.0,89.0,82.0,85.0
2023-0166,David Lopez,A,84.0,85.0,102.0,92.0
2023-0167,Michael Davis,D,90.0,64.0,82.0,74.0
2023-0168,Mary Martinez,C,94.0,N/A,70.0,89.0
2023-0169,Sarah Anderson,C,,72.0,83.0,missing
2023-0170,Linda Martinez,B,82.0,92.0,82.0,90.0
2023-0171,Elizabeth Taylor,D,80.0,89.0,58.0,88.0
2023-0172,John Moore,A,78.0,76.0,84.0,110.0
2023-0173,Ashley Brown,C,103.0,80.0,83.0,79.0
2023-0174,David Rodriguez,D,89.0,74.0,92.0,80.0
2023-0175,Emily Brown,D,72.0,84.0,,N/A
2023-0176,Linda Jones,B,94.0,95.0,96.0,79.0
2023-0177,Daniel Martinez,C,106.0,75.0,82.0,
2023-0178,Elizabeth Miller,C,95.0,90.0,74.0,97.0
2023-0179,James Miller,A,70.0,80.0,111.0,99.0
2023-0180,Daniel Taylor,C,80.0,77.0,86.0,79.0
2023-0181,Jennifer Rodriguez,a,98.0,84.0,85.0,77.0
2023-0182,Jane Williams,C,missing,75.0,85.0,90.0
2023-0183,Patricia Rodriguez,B,89.0,79.0,87.0,79.0
2023-0184,Jane Smith,C,missing,73.0,84.0,91.0
2023-0185,James Jones,A,76.0,105.0,79.0,87.0
2023-0186,Daniel Garcia,A,84.0,85.0,80.0,70.0
2023-0187,William Moore,B,53.0,78.0,85.0,100.0
2023-0188,Patricia Moore,C,500,N/A,80.0,103.0
2023-0189,John Brown,C,82.0,84.0,78.0,
2023-0190,Michael Jones,B,73.0,83.0,86.0,81.0
2023-0191,Linda Johnson,C,101.0,91.0,82.0,88.0
2023-0192,Mary Jackson,C,71.0,93.0,N/A,88.0
2023-0193,Linda Jones,A,81.0,80.0,58.0,92.0
2023-0194,Patricia Jones,C,86.0,79.0,96.0,
2023-0195,Jane Martinez,C,99.0,82.0,97.0,83.0
2023-0196,Mary Johnson,B,71.0,62.0,64.0,77.0
2023-0197,Mary Miller,B,97.0,70.0,,71.0
2023-0198,Jessica Brown,D,85.0,99.0,81.0,78.0
2023-0199,Mary Moore,A,-10,101.0,71.0,85.0
2023-0200,Patricia Martin,C,90.0,83.0,77.0,103.0
2023-0196,Mary Johnson,B,71.0,62.0,64.0,77.0
2023-0197,Mary Miller,B,97.0,70.0,,71.0
2023-0198,Jessica Brown,D,85.0,99.0,81.0,78.0
2023-0199,Mary Moore,A,-10,101.0,71.0,85.0
2023-0200,Patricia Martin,C,90.0,83.0,77.0,103.0
