student_id,first_name,last_name,gender,grade_level,section,subject,score,max_score,attendance_pct,date_enrolled,email,city,remarks
1,Juan,Dela Cruz,Male,7,A,Math,85,100,92.5,6/15/2025,juan.delacruz@school.com,Davao City,Good student
2,maria,Santos,female,7,A,Math,78,100,88,6/15/2025,maria.santos@school.com,davao city,
3,Jose, Rizal ,Male,8,B,Science,92,100,95,6/15/2025,jose.rizal@school.com,General Santos,Excellent
4,Ana,Reyes,Female,7,A,Math,,100,76.5,6/15/2025,ana.reyes@school.com,Davao City,Needs improvement
5,Pedro,Garcia,male,8,B,Science,88,100,91,6/15/2025,,Tagum City,
6,Maria,Santos,Female,7,A,Math,78,100,88,6/15/2025,maria.santos@school.com,Davao City,duplicate entry
7,Carlos,Mendoza,Male,9,C,English,67,100,72.3,6/16/2025,carlos.mendoza@school.com,Panabo City,Below average
8,Liza,Fernandez,Female,8,B,Science,105,100,89,6/16/2025,liza.fernandez@school.com,Davao City,Score error?
9,Ramon,  Aquino,Male,7,A,Math,73,100,,6/16/2025,ramon.aquino@school.com,Davao City,
10,Sofia,Bautista,Female,9,C,English,81,100,85.5,6/16/2025,sofia.bautista@school.com,General Santos,
11,Miguel,Torres,Male,8,,Science,90,100,93.2,6/17/2025,miguel.torres@school.com,Tagum City,Honor student
12,Angela,Cruz,N/A,7,A,Math,56,100,60,6/17/2025,angela.cruz@school.com,davao city,At risk
13,Diego,Villanueva,Male,10,D,Filipino,88,100,90.1,6/17/2025,diego.v@school.com,Panabo City,
14,Isabella,  Ramos  ,Female,9,C,English,-5,100,87,6/17/2025,isabella.ramos@school.com,Davao City,Negative score
15,Andres,Lim,Male,7,A,Math,79,100,120,6/18/2025,andres.lim@school.com,General Santos,Attendance error
16,Patricia,Gonzales,Female,8,B,Science,84,100,91.5,6/18/2025,patricia.gonzales@school.com,Davao City,
17,Rafael, Santos,male,10,D,Filipino,0,100,45,6/18/2025,rafael.santos@school.com,Tagum City,Dropped out?
18,Carmen,De Leon,Female,9,C,English,77,100,83,June 18 2025,carmen.deleon@school.com,davao city,
19,Luis,Navarro,,7,A,Math,82,100,88.9,6/19/2025,luis.navarro@school.com,Davao City,
20,Teresa,Morales,Female,8,B,Science,91,100,94,6/19/2025,teresa.morales@school.com,General Santos,Top performer
21, Juan ,Dela Cruz,Male,7,A,Science,88,100,92.5,6/15/2025,juan.delacruz@school.com,Davao City,Good student
22,Elena,Pascual,Female,10,D,Filipino,ABSENT,100,70.2,6/19/2025,elena.pascual@school.com,Panabo City,Was absent during exam
23,Marco,Tan,Male,9,C,English,74,100,79.5,6/20/2025,,General Santos,
24,Rosario,Aguilar,Femal,8,B,Science,86,100,90,6/20/2025,rosario.aguilar@school.com,Davao City,Typo in gender
25,Victor,Santiago,Male,7,A,Math,69,100,75,6/20/2025,victor.santiago@school.com, Tagum City,
26,Grace,Dimaculangan,Female,10,D,Filipino,93,100,96,6/20/2025,grace.d@school.com,Davao City,Class valedictorian
27,Roberto,Manalo,Male,8,B,Science,71,0,82,6/21/2025,roberto.manalo@school.com,General Santos,Max score is wrong
28,Jasmine,Flores,Female,9,C,English,NULL,100,85,6/21/2025,jasmine.flores@school.com,Davao City,
29,Antonio,  Cruz  ,Male,7,A,Math,80,100,87.3,6/21/2025,antonio.cruz@school.com,Panabo City,
30,Bianca,Reyes,Female,8,B,Science,87,100,91,6/21/2025,bianca.reyes@school.com,davao city,
31,Ricardo,Magbanua,Male,7,A,Math,74,100,80.5,6/22/2025,ricardo.m@school.com,Davao City,
32,Camille, Tan ,Female,8,B,Science,89,100,92,6/22/2025,camille.tan@school.com,General Santos,
33,Daniel,Ocampo,Male,9,C,English,71,100,78,6/22/2025,daniel.o@school.com,tagum city,
34,Angelica,Soriano,Female,10,D,Filipino,95,100,97,6/22/2025,angelica.s@school.com,Davao City,Outstanding
35,Mark,Dela Pena,male,7,A,Math,62,100,65,6/23/2025,mark.dp@school.com,Panabo City,
36,Christine,Velasco,Female,8,B,Science,,100,88.5,6/23/2025,christine.v@school.com,Davao City,
37,Kenneth,Rosal,Male,9,,English,83,100,86,6/23/2025,kenneth.r@school.com,General Santos,
38,Denise,Tolentino,Female,10,D,Filipino,79,100,81,6/23/2025,denise.t@school.com,davao city,
39,Jerome, Castillo,Male,7,A,Math,91,100,93,6/24/2025,,Tagum City,
40,Samantha,Rivera,Female,8,B,Science,76,100,79,6/24/2025,samantha.r@school.com,Davao City,
41,Ryan,Espinosa,Male,9,C,English,68,100,71,6/24/2025,ryan.e@school.com,Panabo City,Below average
42,Karina,Lumaban,female,10,D,Filipino,87,100,89.5,6/24/2025,karina.l@school.com,General Santos,
43,Jericho,Magsaysay,Male,7,A,Math,110,100,94,6/25/2025,jericho.m@school.com,Davao City,Score exceeds max
44,Hannah,Valdez,Female,8,B,Science,82,100,87,6/25/2025,hannah.v@school.com,davao city,
45,Paolo,Gutierrez,Male,9,C,English,75,100,,6/25/2025,paolo.g@school.com,Tagum City,
46,Katrina,Domingo,Female,10,D,Filipino,ABSENT,100,68,6/25/2025,katrina.d@school.com,Panabo City,Absent during exam
47,Bryan,  Lopez  ,Male,7,A,Math,77,100,82,6/26/2025,bryan.l@school.com,General Santos,
48,Trisha,Enriquez,Female,8,B,Science,94,100,95.5,6/26/2025,trisha.e@school.com,Davao City,Honor student
49,Kevin,Padilla,Male,9,C,English,-3,100,84,6/26/2025,kevin.p@school.com,davao city,Negative score error
