Name,Email,Financial Status,Fulfillment Status,Total,Subtotal,Shipping,Discount Amount,Created at,Billing City,Billing Province,Billing Country,Shipping City,Shipping Province,Shipping Country,Payment Method,Lineitem quantity,Lineitem price,z_score,Fraud_Flag_ZScore,Fraud_Flag_IQR,Order_Count,Fraud_Flag_Frequency,Address_Mismatch,Order_Hour,Fraud_Flag_Time,Discount_Pct,Fraud_Flag_Discount
#1001,maria.santos@gmail.com,paid,fulfilled,1250,1100,150,0,1/2/2026 10:23,Davao City,Davao del Sur,PH,Davao City,Davao del Sur,PH,Credit Card,2,550,-0.556856839,OK,OK,1,OK,MATCH,10,OK,0,OK
#1002,john.reyes@yahoo.com,paid,fulfilled,850,750,100,0,1/2/2026 14:15,Cebu City,Cebu,PH,Cebu City,Cebu,PH,Credit Card,1,750,-0.602072773,OK,OK,1,OK,MATCH,14,OK,0,OK
#1003,anna.cruz@gmail.com,paid,fulfilled,2100,1950,150,0,1/3/2026 9:45,Manila,Metro Manila,PH,Manila,Metro Manila,PH,PayPal,3,650,-0.460772978,OK,OK,1,OK,MATCH,9,OK,0,OK
#1004,fakeemail001@tempmail.com,paid,unfulfilled,18500,18000,500,0,1/3/2026 2:13,Manila,Metro Manila,PH,Cagayan de Oro,Misamis Oriental,PH,Credit Card,10,1800,1.393080328,OK,OK,6,FREQUENT,MISMATCH,2,ODD_HOUR,0,OK
#1005,pedro.garcia@gmail.com,paid,fulfilled,1500,1350,150,0,1/4/2026 11:30,Zamboanga City,Zamboanga del Sur,PH,Zamboanga City,Zamboanga del Sur,PH,GCash,2,675,-0.52859688,OK,OK,1,OK,MATCH,11,OK,0,OK
#1006,lisa.fernandez@outlook.com,paid,fulfilled,950,800,150,0,1/4/2026 16:20,Iloilo City,Iloilo,PH,Iloilo City,Iloilo,PH,Credit Card,1,800,-0.59076879,OK,OK,1,OK,MATCH,16,OK,0,OK
#1007,fakeemail001@tempmail.com,paid,unfulfilled,22000,21500,500,0,1/4/2026 3:05,Quezon City,Metro Manila,PH,General Santos,South Cotabato,PH,Credit Card,12,1791.67,1.788719753,OK,OK,6,FREQUENT,MISMATCH,3,ODD_HOUR,0,OK
#1008,mark.villanueva@gmail.com,paid,fulfilled,750,650,100,0,1/5/2026 13:10,Butuan,Agusan del Norte,PH,Butuan,Agusan del Norte,PH,GCash,1,650,-0.613376757,OK,OK,1,OK,MATCH,13,OK,0,OK
#1009,rosa.delacosta@yahoo.com,paid,fulfilled,1800,1600,200,0,1/5/2026 10:00,Taguig,Metro Manila,PH,Taguig,Metro Manila,PH,Credit Card,2,800,-0.494684929,OK,OK,1,OK,MATCH,10,OK,0,OK
#1010,carlos.mendoza@gmail.com,paid,fulfilled,1100,950,150,0,1/6/2026 15:45,Bacolod,Negros Occidental,PH,Bacolod,Negros Occidental,PH,PayPal,1,950,-0.573812814,OK,OK,1,OK,MATCH,15,OK,0,OK
