student_id,full_name,birthdate,age,grade_level,section,avg_quarterly_grade,final_grade,days_present,total_days,attendance_rate,tuition_fee,amount_paid,has_scholarship,has_guardian
STU-0001,Diego Reyes,2013-04-08,12,7,C,69.2,65.2,184,200,92.0,18042.86,14913.8,True,True
STU-0002,Ana Garcia,2009-09-07,16,11,A,86.5,88.5,176,200,88.0,22715.42,19916.42,False,True
STU-0003,Juan Mendoza,2012-06-09,13,8,D,69.7,74.3,171,200,85.5,18577.36,15121.57,False,True
STU-0004,Rosa Gonzales,2011-12-15,14,9,A,81.1,85.8,174,200,87.0,17758.01,13992.49,False,True
STU-0005,Rafael Flores,2009-12-03,16,11,B,66.4,63.7,168,200,84.0,49482.75,47334.97,False,True
STU-0006,Carlos Torres,2010-03-12,15,10,C,75.7,77.4,194,200,97.0,47782.91,42737.54,False,True
STU-0007,Pedro Lopez,2008-03-15,17,12,B,76.4,81.3,190,200,95.0,39085.67,29935.11,False,True
STU-0008,Marco Mendoza,2013-01-26,12,7,B,74.5,72.2,163,200,81.5,46959.76,40862.22,False,True
STU-0009,Ana Dela Cruz,2010-11-15,15,10,D,69.3,65.7,185,200,92.5,33864.21,31294.06,False,True
STU-0010,Sofia Rivera,2011-03-17,14,9,B,79.8,82.4,157,200,78.5,20349.45,15221.28,False,True
STU-0011,Sofia Reyes,2010-10-15,15,10,D,80.9,85.6,150,200,75.0,38809.92,28500.67,False,True
STU-0012,Marco Torres,2008-02-10,17,12,C,78.0,77.5,196,200,98.0,45654.85,35565.89,False,True
STU-0013,Pedro Lopez,2013-11-17,12,7,C,83.3,79.8,160,200,80.0,33878.27,31628.34,False,True
STU-0014,Juan Gonzales,2011-01-04,14,9,D,92.9,96.7,169,200,84.5,23380.83,18056.11,False,True
STU-0015,Maria Reyes,2008-02-25,17,12,D,81.0,77.3,192,200,96.0,31634.88,27362.31,False,True
STU-0016,Liza Gonzales,2010-09-25,15,10,B,86.9,83.9,169,200,84.5,28964.73,26111.88,False,True
STU-0017,Rafael Lopez,2010-04-08,15,10,A,66.9,62.1,185,200,92.5,23054.02,17660.88,True,True
STU-0018,Diego Santos,2012-01-28,13,8,A,74.9,75.0,167,200,83.5,38414.22,29358.88,True,True
STU-0019,Rafael Gonzales,2009-04-26,16,11,D,79.2,78.3,156,200,78.0,18392.58,15253.25,False,True
STU-0020,Elena Villanueva,2013-01-13,12,7,A,86.8,89.8,156,200,78.0,23702.97,17944.63,False,True
STU-0021,Carlos Cruz,2011-04-28,14,9,D,92.7,92.1,185,200,92.5,18426.81,16503.85,False,True
STU-0022,Juan Reyes,2012-07-16,13,8,B,79.4,83.0,153,200,76.5,20762.3,14547.04,False,True
STU-0023,Rafael Mendoza,2010-07-23,15,10,C,93.7,98.7,185,200,92.5,38165.5,32288.07,False,True
STU-0024,Ana Santos,2009-12-11,16,11,A,66.7,67.5,182,200,91.0,47178.55,40542.31,True,True
STU-0025,Miguel Reyes,2012-10-03,13,8,A,85.3,82.7,157,200,78.5,47955.86,41764.88,False,True
STU-0026,Juan Gonzales,2013-11-19,12,7,D,82.0,80.2,166,200,83.0,22149.07,20263.24,False,True
STU-0027,Carlos Cruz,2008-08-11,17,12,C,92.9,97.3,150,200,75.0,31039.99,31025.6,False,True
STU-0028,Maria Lopez,2012-03-12,13,8,C,91.4,95.2,173,200,86.5,24974.56,20765.23,False,True
STU-0029,Jose Gonzales,2008-11-27,17,12,A,81.6,85.9,156,200,78.0,47862.55,35432.04,True,True
STU-0030,Maria Villanueva,2009-05-10,16,11,B,83.1,85.3,163,200,81.5,39062.4,37338.73,False,True
STU-0031,Jose Santos,2013-05-02,12,7,D,65.1,67.8,190,200,95.0,49292.93,36894.51,False,True
STU-0032,Isabella Rivera,2009-02-03,16,11,A,93.4,95.3,159,200,79.5,34095.66,32403.78,False,True
