transaction_id,product,customer_name,customer_city,quantity,unit_price,sale_date,region
1,tablet,Charlie Reyes,manila,8,-50.0,2025-04-21,Visayas
2,Phone,Eve Garcia,cebu,3,299.99,2025-05-16,
3,Headphones,alice santos,Davao,2,79.99,2025-12-28,
4,phone,Diana Lopez,Davao,3,-50.0,2025-07-05,
5,tablet,Charlie Reyes,Manila,5,999.99,2025-05-24,luzon
6,LAPTOP,,,8,999.99,2025-03-13,
7,tablet,Eve Garcia,Cebu,7,999.99,2025-05-09,Mindanao
8,Headphones,alice santos,Cebu,7,999.99,2025-12-30,luzon
9,phone,Bob Cruz,cebu,7,299.99,2025-09-18,Luzon
10,Phone,Bob Cruz,Cebu,8,79.99,2025-01-03,
11,Headphones,alice santos,manila,1,499.99,2025-04-14,
12,Headphones,Eve Garcia,Cebu,4,299.99,2025-08-12,Luzon
13,LAPTOP,,cebu,6,299.99,2025-11-16,
14,Tablet,alice santos,Cebu,9,499.99,2025-12-28,Luzon
15,phone,Diana Lopez,manila,2,499.99,2025-12-20,luzon
16,laptop,Diana Lopez,Manila,1,999.99,2025-01-10,Mindanao
17,Headphones,Bob Cruz,cebu,2,299.99,2025-10-29,Luzon
18,Tablet,Charlie Reyes,Manila,7,-50.0,2025-08-19,Visayas
19,laptop,,Manila,3,499.99,2025-08-07,Luzon
20,phone,Bob Cruz,Manila,2,499.99,2025-03-07,
21,Laptop,Charlie Reyes,Davao,7,79.99,2025-04-22,luzon
22,Tablet,Charlie Reyes,,2,-50.0,2025-01-13,luzon
23,headphones,Frank Torres,Davao,3,-50.0,2025-03-27,Luzon
24,Laptop,Diana Lopez,,7,499.99,2025-08-22,Mindanao
25,LAPTOP,Eve Garcia,Manila,4,999.99,2025-03-31,Visayas
26,tablet,Alice Santos,cebu,1,79.99,2025-11-10,luzon
27,Phone,Eve Garcia,,5,-50.0,2025-02-23,
28,headphones,Alice Santos,manila,9,499.99,2025-01-12,
29,LAPTOP,alice santos,manila,8,-50.0,2025-07-28,Mindanao
30,phone,Diana Lopez,Cebu,9,79.99,2025-01-14,luzon
31,LAPTOP,Charlie Reyes,,9,79.99,2025-05-01,Luzon
32,tablet,,cebu,7,299.99,2025-01-20,
33,phone,Alice Santos,Davao,4,499.99,2025-03-16,Mindanao
34,headphones,Eve Garcia,Manila,5,79.99,2025-08-31,luzon
35,tablet,Charlie Reyes,Cebu,1,299.99,2025-08-11,luzon
36,laptop,Alice Santos,manila,1,299.99,2025-03-11,luzon
37,Phone,Alice Santos,Davao,3,-50.0,2025-11-08,luzon
38,headphones,Frank Torres,Davao,8,-50.0,2025-07-30,luzon
39,laptop,Alice Santos,Manila,2,299.99,2025-04-11,
40,headphones,,,4,-50.0,2025-07-05,Mindanao
41,phone,Diana Lopez,manila,2,79.99,2025-05-12,luzon
42,laptop,,cebu,5,999.99,2025-04-21,Visayas
43,Phone,Bob Cruz,Davao,9,79.99,2025-05-12,Visayas
44,tablet,Charlie Reyes,Manila,1,299.99,2025-01-20,Mindanao
45,Headphones,Diana Lopez,cebu,5,299.99,2025-01-24,Luzon
46,LAPTOP,Frank Torres,,9,79.99,2025-08-15,Luzon
47,Laptop,Diana Lopez,manila,1,-50.0,2025-06-03,Luzon
48,Phone,Diana Lopez,,9,-50.0,2025-10-20,Visayas
49,laptop,Eve Garcia,Davao,8,299.99,2025-08-18,Luzon
50,Headphones,Diana Lopez,cebu,4,499.99,2025-11-06,
51,Phone,Frank Torres,cebu,5,-50.0,2025-12-25,luzon
52,laptop,,cebu,5,79.99,2025-07-21,Visayas
53,Tablet,Diana Lopez,Davao,6,-50.0,2025-02-07,Mindanao
54,Tablet,alice santos,Davao,7,79.99,2025-09-17,Mindanao
55,Phone,Charlie Reyes,,8,299.99,2025-07-07,luzon
56,Tablet,Diana Lopez,Cebu,8,-50.0,2025-02-26,Visayas
57,laptop,Charlie Reyes,,2,79.99,2025-01-20,Luzon
58,laptop,alice santos,manila,9,299.99,2025-09-30,Luzon
59,Phone,alice santos,Manila,7,499.99,2025-04-29,
60,Headphones,Charlie Reyes,cebu,4,79.99,2025-03-12,
61,tablet,Alice Santos,Cebu,4,499.99,2025-01-04,Luzon
62,headphones,Bob Cruz,Manila,8,499.99,2025-08-09,Mindanao
63,Headphones,Eve Garcia,Cebu,4,999.99,2025-01-14,Mindanao
64,phone,Alice Santos,,6,-50.0,2025-01-03,
65,laptop,Alice Santos,Davao,5,79.99,2025-08-04,luzon
66,phone,,cebu,3,499.99,2025-08-17,Luzon
67,Headphones,Eve Garcia,,2,999.99,2025-12-02,
68,headphones,Eve Garcia,Manila,9,299.99,2025-07-05,
69,headphones,Alice Santos,Manila,9,79.99,2025-02-24,Luzon
70,Laptop,Diana Lopez,Manila,1,499.99,2025-09-11,Luzon
71,headphones,,Manila,3,-50.0,2025-01-24,Mindanao
72,tablet,,Manila,8,999.99,2025-06-11,luzon
73,headphones,alice santos,Cebu,6,499.99,2025-06-07,luzon
74,Headphones,Frank Torres,,5,-50.0,2025-03-23,Luzon
75,Laptop,Eve Garcia,cebu,5,499.99,2025-06-08,Visayas
76,Headphones,Alice Santos,Davao,6,79.99,2025-07-07,
77,Headphones,alice santos,Davao,7,79.99,2025-03-01,
78,LAPTOP,Charlie Reyes,,1,79.99,2025-11-01,Luzon
79,Laptop,Bob Cruz,,9,999.99,2025-11-15,Visayas
80,Headphones,Frank Torres,Davao,3,79.99,2025-07-30,Mindanao
81,LAPTOP,Frank Torres,Davao,4,-50.0,2025-06-01,Luzon
82,LAPTOP,Frank Torres,Cebu,1,499.99,2025-04-19,Luzon
83,Laptop,,manila,3,299.99,2025-03-17,
84,phone,Charlie Reyes,cebu,2,-50.0,2025-01-30,Luzon
85,tablet,Frank Torres,Manila,2,-50.0,2025-11-10,Luzon
86,headphones,Charlie Reyes,manila,1,79.99,2025-04-27,Luzon
87,tablet,Diana Lopez,,8,999.99,2025-12-22,
88,headphones,Frank Torres,Davao,3,499.99,2025-07-11,Mindanao
89,Headphones,Bob Cruz,manila,3,999.99,2025-01-19,Mindanao
90,laptop,Charlie Reyes,cebu,6,499.99,2025-06-22,Luzon
91,Laptop,Charlie Reyes,,8,499.99,2025-08-16,
92,tablet,Bob Cruz,Manila,9,999.99,2025-12-16,Mindanao
93,tablet,Frank Torres,Manila,9,-50.0,2025-07-02,Mindanao
94,Headphones,Bob Cruz,cebu,4,499.99,2025-04-23,Mindanao
95,phone,Charlie Reyes,cebu,5,999.99,2025-07-02,
96,LAPTOP,Bob Cruz,Davao,2,499.99,2025-05-26,
97,Headphones,Charlie Reyes,Manila,9,299.99,2025-11-15,Luzon
98,Tablet,Charlie Reyes,,8,-50.0,2025-04-26,luzon
99,LAPTOP,Diana Lopez,manila,3,79.99,2025-04-23,Mindanao
100,Laptop,Alice Santos,,9,499.99,2025-09-08,luzon
101,LAPTOP,Charlie Reyes,Cebu,3,299.99,2025-09-08,
102,phone,Frank Torres,Cebu,9,79.99,2025-10-30,
103,LAPTOP,alice santos,cebu,2,79.99,2025-11-09,
104,Laptop,,Davao,9,499.99,2025-04-28,luzon
105,phone,Eve Garcia,Cebu,8,999.99,2025-10-28,
106,tablet,Alice Santos,Manila,9,499.99,2025-06-10,Luzon
107,tablet,Alice Santos,,5,299.99,2025-07-17,
108,headphones,Alice Santos,,2,79.99,2025-09-17,Visayas
109,LAPTOP,Diana Lopez,cebu,8,499.99,2025-05-28,luzon
110,tablet,Charlie Reyes,manila,6,999.99,2025-08-28,Visayas
111,Laptop,Diana Lopez,cebu,8,499.99,2025-02-16,
112,Phone,Charlie Reyes,manila,5,-50.0,2025-07-17,Luzon
113,Phone,Frank Torres,cebu,2,999.99,2025-02-16,Mindanao
114,phone,Diana Lopez,cebu,6,299.99,2025-03-19,
115,tablet,Diana Lopez,cebu,5,79.99,2025-05-04,Luzon
116,tablet,,manila,5,499.99,2025-03-16,luzon
117,Phone,alice santos,manila,1,999.99,2025-12-25,Visayas
118,tablet,Diana Lopez,cebu,2,-50.0,2025-05-17,Visayas
119,LAPTOP,,Cebu,8,999.99,2025-03-31,Visayas
120,Tablet,Bob Cruz,Davao,3,-50.0,2025-11-21,luzon
121,laptop,alice santos,Davao,3,299.99,2025-03-02,Luzon
122,headphones,Frank Torres,Davao,8,79.99,2025-05-18,luzon
123,phone,Diana Lopez,manila,8,299.99,2025-02-19,Visayas
124,Tablet,Eve Garcia,manila,2,499.99,2025-09-16,
125,Phone,Alice Santos,Cebu,8,999.99,2025-04-17,Mindanao
126,tablet,Bob Cruz,Davao,1,-50.0,2025-04-23,luzon
127,headphones,Bob Cruz,Davao,6,-50.0,2025-12-16,luzon
128,tablet,Frank Torres,cebu,8,999.99,2025-09-11,Luzon
129,Laptop,,manila,3,999.99,2025-04-28,Luzon
130,Laptop,Bob Cruz,Davao,8,499.99,2025-07-17,luzon
131,headphones,alice santos,,1,299.99,2025-12-03,Visayas
132,headphones,Diana Lopez,Cebu,9,-50.0,2025-12-31,Mindanao
133,Phone,Diana Lopez,,9,499.99,2025-02-20,Luzon
134,headphones,Eve Garcia,,5,299.99,2025-09-02,Visayas
135,LAPTOP,Frank Torres,Cebu,4,499.99,2025-02-04,
136,tablet,Alice Santos,,6,-50.0,2025-10-29,Luzon
137,Tablet,,Davao,7,999.99,2025-03-10,Visayas
138,Headphones,Alice Santos,manila,5,999.99,2025-12-15,Visayas
139,headphones,Bob Cruz,Cebu,9,299.99,2025-11-16,Mindanao
140,phone,Frank Torres,cebu,3,79.99,2025-02-18,Mindanao
141,Laptop,Eve Garcia,,7,299.99,2025-03-15,
142,LAPTOP,Alice Santos,Cebu,5,79.99,2025-07-11,Visayas
143,Headphones,alice santos,Manila,7,499.99,2025-09-18,Visayas
144,Tablet,Diana Lopez,Manila,2,499.99,2025-12-22,Mindanao
145,Headphones,Bob Cruz,manila,4,-50.0,2025-03-11,Luzon
146,headphones,Eve Garcia,Davao,2,79.99,2025-03-31,Luzon
147,Phone,Alice Santos,manila,7,-50.0,2025-09-17,luzon
148,Laptop,,manila,2,999.99,2025-05-06,Mindanao
149,Laptop,alice santos,manila,1,79.99,2025-08-19,luzon
150,Phone,alice santos,manila,9,299.99,2025-10-22,Mindanao
151,tablet,Alice Santos,cebu,1,999.99,2025-05-09,
152,laptop,Diana Lopez,cebu,8,999.99,2025-10-07,Visayas
153,LAPTOP,Alice Santos,Cebu,2,299.99,2025-11-09,
154,Laptop,Bob Cruz,Manila,8,999.99,2025-04-10,Mindanao
155,phone,Alice Santos,manila,3,79.99,2025-11-22,Visayas
156,Laptop,alice santos,Cebu,6,-50.0,2025-10-24,Luzon
157,Headphones,Eve Garcia,Manila,3,999.99,2025-07-01,Luzon
158,Laptop,Alice Santos,,7,79.99,2025-06-23,luzon
159,Laptop,Diana Lopez,Davao,9,499.99,2025-11-12,Mindanao
160,laptop,Frank Torres,cebu,2,79.99,2025-12-30,Mindanao
161,laptop,Eve Garcia,,5,-50.0,2025-07-07,Luzon
162,Tablet,,Manila,6,79.99,2025-02-26,
163,tablet,Charlie Reyes,,4,299.99,2025-01-31,Visayas
164,phone,Alice Santos,Davao,4,-50.0,2025-03-25,
165,Laptop,Diana Lopez,Manila,4,499.99,2025-06-01,
166,Laptop,Eve Garcia,,2,299.99,2025-02-05,Luzon
167,LAPTOP,Diana Lopez,cebu,4,79.99,2025-08-01,Luzon
168,laptop,,cebu,1,-50.0,2025-12-30,Luzon
169,phone,alice santos,Cebu,6,499.99,2025-04-16,luzon
170,Tablet,Diana Lopez,,1,299.99,2025-12-08,
171,tablet,Eve Garcia,manila,6,499.99,2025-08-08,Mindanao
172,Phone,Diana Lopez,,1,79.99,2025-06-12,Visayas
173,tablet,Diana Lopez,Manila,6,499.99,2025-08-08,luzon
174,Headphones,Diana Lopez,Manila,8,999.99,2025-09-27,Mindanao
175,Laptop,Bob Cruz,,2,299.99,2025-04-30,
176,Tablet,Bob Cruz,Davao,2,499.99,2025-12-02,Luzon
177,Headphones,alice santos,cebu,4,79.99,2025-07-01,
178,phone,Alice Santos,Manila,3,79.99,2025-04-16,Visayas
179,Phone,Diana Lopez,cebu,4,499.99,2025-08-05,luzon
180,laptop,,Manila,7,79.99,2025-07-24,luzon
