StudentID,Name,Gender,Age,StudyHours,Attendance,MathScore,ScienceScore,EnglishScore,Extracurricular
1001,Alice,Female,17,15,95,88,92,85,Yes
1002,Bob,Male,18,8,80,72,65,78,No
1003,Charlie,Male,17,12,90,85,88,82,Yes
1004,David,Male,18,5,70,60,55,65,No
1005,Eve,Female,17,20,98,95,98,92,Yes
1006,Frank,Male,18,10,85,78,80,75,No
1007,Grace,Female,17,14,92,82,85,88,Yes
1008,Hannah,Female,18,6,75,65,70,68,No
1009,Ivy,Female,17,18,96,90,94,89,Yes
1010,Jack,Male,18,9,82,75,72,70,No
1011,Kevin,Male,17,16,94,86,89,84,Yes
1012,Liam,Male,18,7,78,68,62,72,No
1013,Mia,Female,17,13,91,84,86,80,Yes
1014,Noah,Male,18,4,65,55,50,60,No
1015,Olivia,Female,17,19,97,93,96,91,Yes
1016,Peter,Male,18,11,88,79,82,76,No
1017,Quinn,Female,17,15,93,87,90,86,Yes
1018,Ryan,Male,18,6,72,62,68,64,No
1019,Sophia,Female,17,17,95,89,92,87,Yes
1020,Tom,Male,18,8,81,74,70,73,No
