EmployeeID,FirstName,LastName,Department,Salary,JoiningDate,Age,PerformanceScore,City
1001,Robert,Jones,Operations,130632,2017-02-28,55,4,Makati
1002,Jessica,Garcia,IT,45501,2021-06-18,54,4,Pasig
1003,Jessica,Brown,Marketing,50308,2019-12-21,40,4,Quezon
1004,Lisa,Smith,HR,48018,2020-03-06,33,2,Manila
1005,Emily,Miller,Engineering,115589,2020-09-23,30,3,Navotas
1006,William,Johnson,Finance,88964,2023-09-24,39,1,Quezon
1007,Lisa,Jackson,Operations,48681,2020-03-30,40,2,Navotas
1008,Sarah,Moore,Engineering,122994,2020-11-28,34,4,Makati
1009,Jessica,Lopez,Engineering,41137,2015-05-26,55,5,Quezon
1010,William,Taylor,Finance,106965,2017-06-24,50,1,Pasig
1011,James,Rodriguez,Finance,94413,2017-07-03,36,2,Taguig
1012,Mary,Wilson,Sales,115316,2022-03-27,47,5,Quezon
1013,Jane,Smith,Marketing,43553,2015-06-28,52,4,Mandaluyong
1014,William,Martin,Operations,104878,2017-06-30,47,2,Quezon
1015,Joshua,Brown,Finance,88267,2019-03-07,24,1,Makati
1016,Jennifer,Garcia,Engineering,131971,2015-03-24,44,4,Manila
1017,Ashley,Martin,Finance,125010,2022-04-25,43,1,Navotas
1018,Lisa,Jones,Operations,81653,2017-02-16,22,4,Manila
1019,Jessica,Garcia,IT,105018,2017-06-03,36,2,Quezon
1020,Lisa,Rodriguez,Engineering,97947,2023-11-28,38,1,Muntinlupa
1021,Mary,Thomas,Sales,74652,2016-06-23,26,2,Muntinlupa
1022,Jennifer,Wilson,Marketing,135605,2017-09-11,26,1,Muntinlupa
1023,Daniel,Jones,Finance,131812,2022-08-04,46,2,Muntinlupa
1024,William,Jackson,Engineering,88962,2015-03-28,39,2,Pasig
1025,Jane,Miller,Marketing,67810,2020-04-05,48,5,Taguig
1026,Jane,Lopez,HR,119804,2016-04-14,59,3,Makati
1027,Elizabeth,Garcia,IT,106514,2022-06-07,48,3,Mandaluyong
1028,Michael,Wilson,Marketing,48485,2019-03-06,52,1,Navotas
1029,James,Garcia,HR,64300,2019-04-11,26,2,Mandaluyong
1030,David,Jackson,Sales,68561,2017-09-22,23,2,Navotas
1031,Emily,Miller,Operations,80117,2017-02-28,24,1,Mandaluyong
1032,Jessica,Martinez,IT,100324,2017-09-28,53,1,Navotas
1033,Christopher,Davis,Operations,110573,2017-05-05,27,4,Pasig
1034,Christopher,Moore,Sales,112849,2019-03-26,34,1,Manila
1035,Ashley,Brown,Engineering,75807,2019-06-09,42,4,Manila
1036,Daniel,Johnson,Sales,81490,2020-06-25,26,3,Taguig
1037,Daniel,Thomas,Sales,59799,2018-03-03,31,1,Navotas
1038,Elizabeth,Anderson,HR,129392,2020-07-16,51,2,Muntinlupa
1039,Joshua,Moore,Finance,51372,2023-07-15,39,4,Taguig
1040,James,Moore,IT,69247,2022-04-03,25,4,Makati
1041,Matthew,Jackson,IT,121219,2018-07-17,39,5,Manila
1042,Jessica,Wilson,HR,65970,2023-12-10,41,2,Makati
1043,James,Hernandez,Operations,100512,2022-02-22,30,5,Makati
1044,Jennifer,Martin,HR,132636,2020-07-25,24,4,Makati
1045,Jane,Taylor,Marketing,146010,2023-11-08,42,1,Muntinlupa
1046,Christopher,Davis,Finance,142521,2019-08-01,41,1,Manila
1047,Sarah,Martin,Engineering,123690,2019-02-14,56,1,Navotas
1048,Michael,Anderson,Sales,121942,2021-11-21,54,4,Pasig
1049,David,Hernandez,Finance,77958,2018-03-16,33,1,Pasig
1050,James,Martin,Finance,103861,2021-10-25,32,2,Quezon
1051,Elizabeth,Smith,Marketing,121775,2015-12-10,48,1,Pasig
1052,John,Johnson,Marketing,89795,2020-04-17,52,4,Mandaluyong
1053,David,Rodriguez,HR,73444,2017-10-16,47,5,Manila
1054,Jane,Jackson,HR,62934,2015-11-28,31,1,Muntinlupa
1055,Christopher,Johnson,HR,146506,2016-08-03,25,4,Pasig
1056,William,Jackson,IT,112532,2017-07-26,38,5,Navotas
1057,John,Martinez,IT,99686,2020-02-25,50,3,Muntinlupa
1058,Mary,Moore,Finance,142522,2022-05-20,31,1,Pasig
1059,Mary,Smith,Operations,56086,2016-01-25,46,3,Makati
1060,Jane,Williams,Operations,142476,2023-01-27,37,1,Makati
1061,John,Martinez,HR,92707,2015-09-01,58,3,Quezon
