order_id,customer_name,customer_email,product,category,quantity,unit_price,discount_pct,discount_amount,total,order_date,order_hour,payment_method,status,shipping_city,is_refunded
SHOP-00001,Richard Allen,lisa94@example.net,Hoodie Premium,Apparel,1,1200,10,120.0,1080.0,2025-05-21 11:14:00,11,GCash,Completed,North Robinmouth,False
SHOP-00002,Michael Martinez,daniel50@example.com,Hoodie Premium,Apparel,5,1200,0,0.0,6000.0,2025-01-17 08:05:00,8,GCash,Completed,Clarkchester,False
SHOP-00003,Stephanie Mcgrath,xwhite@example.com,Classic T-Shirt,Apparel,5,450,0,0.0,2250.0,2025-11-29 19:34:00,19,COD,Completed,North Jade,False
SHOP-00004,Matthew Herring,bterry@example.org,Water Bottle,Home,5,600,0,0.0,3000.0,2025-01-04 20:51:00,20,GCash,Pending,Leefurt,False
SHOP-00005,Anthony Stewart,rmartin@example.net,Sticker Pack (10),Stationery,3,150,0,0.0,450.0,2025-04-21 20:21:00,20,Credit Card,Completed,Michaelchester,False
SHOP-00006,Mary Williams DVM,youngjoshua@example.com,Coffee Mug,Home,1,400,0,0.0,400.0,2025-06-26 17:16:00,17,Credit Card,Pending,Port Jack,False
SHOP-00007,Penny Williams,kathleengomez@example.com,Hoodie Premium,Apparel,4,1200,0,0.0,4800.0,2025-10-10 12:53:00,12,PayPal,Shipped,Coleberg,False
SHOP-00008,Gary Randolph,robert08@example.net,Laptop Sleeve,Accessories,1,800,0,0.0,800.0,2025-12-05 11:49:00,11,PayPal,Completed,South Nathan,False
SHOP-00009,Steven Hernandez,victoria84@example.org,Laptop Sleeve,Accessories,1,800,0,0.0,800.0,2025-05-23 15:40:00,15,PayPal,Completed,Waynetown,False
SHOP-00010,Tara Martinez,ericreynolds@example.net,Sticker Pack (10),Stationery,3,150,0,0.0,450.0,2025-12-10 12:44:00,12,Credit Card,Shipped,New Karenport,False
SHOP-00011,Kenneth Rodriguez,jonathanshea@example.net,Phone Case,Accessories,5,350,10,175.0,1575.0,2025-10-10 00:40:00,10,COD,Refunded,Lake Christinachester,True
SHOP-00012,Brandon Peterson,tinadillon@example.net,Laptop Sleeve,Accessories,3,800,15,360.0,2040.0,2025-01-29 11:52:00,11,Credit Card,Completed,West Ronaldhaven,False
SHOP-00013,Ronald Ho,alexis93@example.org,Coffee Mug,Home,3,400,0,0.0,1200.0,2025-04-19 22:36:00,22,PayPal,Completed,Chanfurt,False
SHOP-00014,Jamie Jenkins,james18@example.org,Water Bottle,Home,4,600,10,240.0,2160.0,2025-08-23 10:16:00,10,GCash,Completed,Veronicabury,False
SHOP-00015,Richard Powell,rsmith@example.net,Canvas Tote Bag,Bags,5,550,0,0.0,2750.0,2025-10-26 14:23:00,14,GCash,Completed,Whitetown,False
SHOP-00016,Edward Duncan,mackenzie00@example.com,Water Bottle,Home,1,600,15,90.0,510.0,2025-01-25 04:41:00,4,GCash,Completed,Timothyburgh,False
SHOP-00017,Lindsey Zimmerman,sandragood@example.org,Coffee Mug,Home,5,400,0,0.0,2000.0,2025-07-17 14:38:00,14,COD,Shipped,Hoganmouth,False
SHOP-00018,James Thornton,markbaker@example.com,Canvas Tote Bag,Bags,5,550,15,412.5,2337.5,2025-10-10 00:37:00,18,Credit Card,Refunded,Frankmouth,True
SHOP-00019,Dustin Martin,josephhardy@example.org,Canvas Tote Bag,Bags,3,550,0,0.0,1650.0,2025-05-31 14:10:00,14,COD,Completed,West Donald,False
SHOP-00020,Lisa Shah,christopherbrown@example.net,Canvas Tote Bag,Bags,5,550,15,412.5,2337.5,2025-04-02 16:58:00,16,Credit Card,Completed,South Sarahhaven,False
SHOP-00021,Steven Jimenez,hamiltonalex@example.org,Laptop Sleeve,Accessories,2,800,0,0.0,1600.0,2025-03-24 16:49:00,16,Credit Card,Shipped,Lake Jamie,False
SHOP-00022,Jason Rodriguez,joseph31@example.org,Sticker Pack (10),Stationery,4,150,0,0.0,600.0,2025-02-27 22:23:00,22,PayPal,Completed,Chavezside,False
SHOP-00023,Dr. Briana Noble,jaredvasquez@example.com,Classic T-Shirt,Apparel,2,450,5,45.0,855.0,2025-02-10 09:46:00,9,COD,Completed,Reynoldsfort,False
SHOP-00024,Nicole Colon,cruzamanda@example.com,Phone Case,Accessories,2,350,10,70.0,630.0,2025-09-01 16:10:00,16,PayPal,Shipped,South Austinmouth,False
SHOP-00025,Yolanda Madden,dennis72@example.com,Coffee Mug,Home,2,400,95,760.0,40.0,2025-12-20 11:45:00,11,PayPal,Pending,South Heatherstad,False
SHOP-00026,Juan Suspicious,suspicious.buyer@fakeemail.com,Sticker Pack (10),Stationery,4,150,5,30.0,570.0,2025-08-20 09:15:00,9,GCash,Completed,Joshuachester,False
SHOP-00027,Edward York,ttate@example.net,Sticker Pack (10),Stationery,1,150,5,7.5,142.5,2025-10-11 11:37:00,11,GCash,Completed,Lake Josephfurt,False
SHOP-00028,Joshua Beasley,portega@example.com,Hoodie Premium,Apparel,1,1200,0,0.0,1200.0,2025-02-04 01:21:00,1,PayPal,Completed,Campbellborough,False
SHOP-00029,Carly Stephens,leealicia@example.net,Laptop Sleeve,Accessories,3,800,10,240.0,2160.0,2025-09-06 11:34:00,11,GCash,Shipped,New Kristenhaven,False
SHOP-00030,Sarah Mitchell,qfrancis@example.com,Water Bottle,Home,2,600,15,180.0,1020.0,2025-08-31 20:26:00,20,GCash,Completed,Joshuatown,False
SHOP-00031,Vanessa Stokes,alexis57@example.net,Hoodie Premium,Apparel,4,1200,0,0.0,4800.0,2025-08-05 14:29:00,14,Credit Card,Completed,New Sergioberg,False
SHOP-00032,Kristie Miller,kimnicholas@example.org,Classic T-Shirt,Apparel,4,450,10,180.0,1620.0,2025-06-23 20:55:00,20,Credit Card,Completed,Turnerbury,False
SHOP-00033,Robert Washington,curtischase@example.net,Laptop Sleeve,Accessories,2,800,5,80.0,1520.0,2025-08-18 10:27:00,10,GCash,Completed,Elizabethbury,False
SHOP-00034,Michael Miller,timothygonzales@example.net,Water Bottle,Home,2,600,15,180.0,1020.0,2025-02-08 15:51:00,15,Credit Card,Completed,Paulastad,False
SHOP-00035,Tammy Robinson,ylara@example.com,Classic T-Shirt,Apparel,1,450,15,67.5,382.5,2025-05-02 10:26:00,10,COD,Pending,Lake Diane,False
SHOP-00036,Kathryn Hess,rsanford@example.net,Laptop Sleeve,Accessories,4,800,0,0.0,3200.0,2025-03-26 14:00:00,14,COD,Completed,Lake Justin,False
SHOP-00037,Mitchell Santiago,jenniferlane@example.net,Water Bottle,Home,3,600,0,0.0,1800.0,2025-12-23 19:50:00,19,COD,Completed,Lake Ashley,False
SHOP-00038,Melinda Clark,pmills@example.org,Laptop Sleeve,Accessories,3,800,0,0.0,2400.0,2025-01-30 17:47:00,17,Credit Card,Completed,Lake Gabriel,False
SHOP-00039,Jared Hurley,michelle10@example.com,Classic T-Shirt,Apparel,1,450,5,22.5,427.5,2025-09-02 01:21:00,1,GCash,Completed,Lake Mary,False
SHOP-00040,Cynthia Henderson,evansjennifer@example.org,Hoodie Premium,Apparel,2,1200,0,0.0,2400.0,2025-11-01 09:43:00,9,GCash,Pending,West Adrianfort,False
SHOP-00041,Lori Mata,vmeyer@example.com,Hoodie Premium,Apparel,5,1200,0,0.0,6000.0,2025-10-24 17:02:00,17,Credit Card,Pending,Dustinburgh,False
SHOP-00042,Christopher Hernandez,morenopriscilla@example.net,Sticker Pack (10),Stationery,3,150,0,0.0,450.0,2025-12-09 19:20:00,19,GCash,Completed,Brianville,False
SHOP-00043,Courtney Hunt,reginald46@example.com,Coffee Mug,Home,2,400,10,80.0,720.0,2025-11-27 12:29:00,12,PayPal,Completed,South Josephview,False
SHOP-00044,Susan Williams,zlevy@example.net,Classic T-Shirt,Apparel,4,450,5,90.0,1710.0,2025-10-16 09:04:00,9,GCash,Shipped,Jacobmouth,False
SHOP-00045,Veronica Clarke,stephanie45@example.net,Canvas Tote Bag,Bags,2,550,0,0.0,1100.0,2025-02-05 22:15:00,22,PayPal,Completed,East Noahborough,False
SHOP-00046,Jennifer Hansen,nathanielcooper@example.net,Phone Case,Accessories,4,350,15,210.0,1190.0,2025-10-06 19:19:00,19,Credit Card,Shipped,East Madison,False
SHOP-00047,Stephanie Norris,tgreen@example.com,Canvas Tote Bag,Bags,1,550,0,0.0,550.0,2025-05-16 09:56:00,9,Credit Card,Shipped,West Michaelmouth,False
SHOP-00048,David Boyd,dianaholland@example.net,Phone Case,Accessories,3,350,0,0.0,1050.0,2025-11-06 11:45:00,11,PayPal,Completed,Gabriellestad,False
SHOP-00049,Andrew Gomez,sgibbs@example.org,Canvas Tote Bag,Bags,5,550,0,0.0,2750.0,2025-05-09 22:58:00,22,Credit Card,Completed,Stanleybury,False
SHOP-00050,Juan Suspicious,suspicious.buyer@fakeemail.com,Coffee Mug,Home,3,400,0,0.0,1200.0,2025-01-02 13:49:00,13,GCash,Completed,North Wesley,False
SHOP-00051,Aaron Jimenez,jaredrobinson@example.org,Phone Case,Accessories,4,350,5,70.0,1330.0,2025-12-28 14:35:00,14,Credit Card,Completed,Colonside,False
SHOP-00052,April Ryan,sophialeblanc@example.org,Hoodie Premium,Apparel,2,1200,5,120.0,2280.0,2025-01-19 21:23:00,21,GCash,Pending,South Beverly,False
SHOP-00053,Thomas Watson,moniquesmith@example.net,Phone Case,Accessories,1,350,0,0.0,350.0,2025-07-06 22:59:00,22,Credit Card,Completed,Turnerburgh,False
SHOP-00054,Adam Hood,cynthiadixon@example.com,Laptop Sleeve,Accessories,2,800,10,160.0,1440.0,2025-02-22 13:49:00,13,COD,Shipped,Hodgeville,False
SHOP-00055,Tiffany Wells,jamesdyer@example.net,Phone Case,Accessories,2,350,15,105.0,595.0,2025-03-25 20:51:00,20,GCash,Pending,Lake Kerri,False
SHOP-00056,Allison Carlson,cthompson@example.com,Classic T-Shirt,Apparel,2,450,10,90.0,810.0,2025-06-20 20:59:00,20,COD,Completed,Amyberg,False
SHOP-00057,Robert Potts,roger19@example.org,Canvas Tote Bag,Bags,2,550,15,165.0,935.0,2025-12-26 09:24:00,9,Credit Card,Pending,Thomasmouth,False
SHOP-00058,Aaron Allison,taylorerin@example.com,Laptop Sleeve,Accessories,2,800,15,240.0,1360.0,2025-08-24 13:19:00,13,GCash,Completed,Jeremychester,False
SHOP-00059,Andrea Clark,michael76@example.net,Classic T-Shirt,Apparel,2,450,0,0.0,900.0,2025-06-18 12:55:00,12,Credit Card,Completed,Martinezstad,False
SHOP-00060,William Williams,bobby72@example.org,Sticker Pack (10),Stationery,5,150,0,0.0,750.0,2025-12-14 21:34:00,21,PayPal,Completed,West Dianastad,False
SHOP-00061,Joshua Lewis,rpowell@example.org,Hoodie Premium,Apparel,3,1200,0,0.0,3600.0,2025-10-25 12:02:00,12,Credit Card,Shipped,South Courtneyfort,False
SHOP-00062,David Nash,kathryn40@example.net,Coffee Mug,Home,3,400,10,120.0,1080.0,2025-06-10 14:38:00,14,Credit Card,Pending,East Matthew,False
SHOP-00063,Courtney Daniels,paigeraymond@example.net,Laptop Sleeve,Accessories,3,800,0,0.0,2400.0,2025-12-29 14:00:00,14,GCash,Completed,Blackton,False
SHOP-00064,Megan Barton,jamesholder@example.com,Coffee Mug,Home,1,400,10,40.0,360.0,2025-06-19 17:20:00,17,Credit Card,Completed,Shepherdbury,False
SHOP-00065,Nicole Bennett,fscott@example.net,Canvas Tote Bag,Bags,4,550,0,0.0,2200.0,2025-07-26 19:18:00,19,GCash,Completed,Bowmanmouth,False
SHOP-00066,Brandon Leach,dawn08@example.com,Coffee Mug,Home,4,400,10,160.0,1440.0,2025-03-31 17:36:00,17,PayPal,Pending,New Theresaville,False
SHOP-00067,Marvin Walters,cruzmichael@example.org,Classic T-Shirt,Apparel,3,450,0,0.0,1350.0,2025-04-18 14:50:00,14,PayPal,Pending,New Jessica,False
SHOP-00068,Kevin Shaw,morsewilliam@example.com,Water Bottle,Home,4,600,10,240.0,2160.0,2025-04-20 16:30:00,16,GCash,Completed,West Andrea,False
SHOP-00069,Diane Cunningham,melissa62@example.org,Canvas Tote Bag,Bags,5,550,10,275.0,2475.0,2025-11-21 17:21:00,17,Credit Card,Completed,North Maria,False
SHOP-00070,Diamond Rivera,edwardmiller@example.net,Canvas Tote Bag,Bags,2,550,15,165.0,935.0,2025-04-12 10:01:00,10,Credit Card,Completed,New Allison,False
SHOP-00071,John Lee,irasmussen@example.net,Water Bottle,Home,5,600,15,450.0,2550.0,2025-02-07 15:26:00,15,GCash,Pending,Hallmouth,False
